starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 06 20:52:38 2022	1641498758	0	4	4	0
Thu Jan 06 20:52:38 2022	1641498758	3	2	5	2
Thu Jan 06 20:52:38 2022	1641498758	3	2	5	2
Thu Jan 06 20:52:38 2022	1641498758	3	2	5	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	5	2
Thu Jan 06 20:52:38 2022	1641498758	2	3	5	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	2	3	6	3
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	2	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	5	6	4
Thu Jan 06 20:52:38 2022	1641498758	3	4	6	3
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	3
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	3
Thu Jan 06 20:52:38 2022	1641498758	3	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	4
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	4
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	3
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	4	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	3
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	3
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	3
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	4	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	6	3
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	4	3	6	2
Thu Jan 06 20:52:38 2022	1641498758	4	2	6	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	5	6	4
Thu Jan 06 20:52:38 2022	1641498758	4	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	6	3
Thu Jan 06 20:52:38 2022	1641498758	3	3	6	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	7	2
Thu Jan 06 20:52:38 2022	1641498758	3	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	3	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	3	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	2	7	2
Thu Jan 06 20:52:38 2022	1641498758	4	2	7	2
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	2
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	2
Thu Jan 06 20:52:38 2022	1641498758	2	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	2
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	3
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	2
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	3	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	5
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	5
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	5	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	4
Thu Jan 06 20:52:38 2022	1641498758	4	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	5	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	2
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	2
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	5
Thu Jan 06 20:52:38 2022	1641498758	2	5	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	5	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	1
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	3
Thu Jan 06 20:52:38 2022	1641498758	4	3	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	5	7	2
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	2
Thu Jan 06 20:52:38 2022	1641498758	3	4	7	3
