starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 06 20:52:21 2022	1641498741	0	1	1	0
Thu Jan 06 20:52:21 2022	1641498741	0	1	1	0
Thu Jan 06 20:52:21 2022	1641498741	0	1	1	1
Thu Jan 06 20:52:21 2022	1641498741	0	1	1	1
Thu Jan 06 20:52:21 2022	1641498741	0	1	1	1
Thu Jan 06 20:52:21 2022	1641498741	0	1	1	1
Thu Jan 06 20:52:21 2022	1641498741	0	1	2	1
Thu Jan 06 20:52:21 2022	1641498741	1	1	2	1
Thu Jan 06 20:52:21 2022	1641498741	1	1	2	1
Thu Jan 06 20:52:21 2022	1641498741	1	2	2	1
Thu Jan 06 20:52:21 2022	1641498741	1	1	2	1
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	1
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	1
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	1
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	2
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	2
Thu Jan 06 20:52:21 2022	1641498741	0	3	3	1
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	2
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	2
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	2
Thu Jan 06 20:52:21 2022	1641498741	0	3	3	2
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	1
Thu Jan 06 20:52:21 2022	1641498741	1	3	3	2
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	2
Thu Jan 06 20:52:21 2022	1641498741	1	3	3	2
Thu Jan 06 20:52:21 2022	1641498741	1	2	3	2
Thu Jan 06 20:52:21 2022	1641498741	1	3	4	3
Thu Jan 06 20:52:21 2022	1641498741	0	4	4	0
Thu Jan 06 20:52:21 2022	1641498741	2	2	4	2
Thu Jan 06 20:52:21 2022	1641498741	1	3	4	2
Thu Jan 06 20:52:21 2022	1641498741	2	2	4	2
Thu Jan 06 20:52:21 2022	1641498741	0	4	4	3
Thu Jan 06 20:52:21 2022	1641498741	0	4	4	3
Thu Jan 06 20:52:21 2022	1641498741	3	1	4	1
Thu Jan 06 20:52:21 2022	1641498741	1	4	4	3
Thu Jan 06 20:52:21 2022	1641498741	1	4	4	3
Thu Jan 06 20:52:21 2022	1641498741	0	4	5	4
Thu Jan 06 20:52:21 2022	1641498741	0	4	5	4
Thu Jan 06 20:52:21 2022	1641498741	0	4	5	4
Thu Jan 06 20:52:21 2022	1641498741	0	5	5	4
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	2	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	2	6	1
Thu Jan 06 20:52:21 2022	1641498741	3	2	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	2	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	1
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	2
Thu Jan 06 20:52:21 2022	1641498741	4	2	6	1
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	1
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	1
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	1
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	2
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	1
Thu Jan 06 20:52:21 2022	1641498741	3	3	6	2
